Component Name,Unit Price (USD),Total Price (USD),Price (EUR)
XBEE 868LP For Europe,n/a,n/a,20.71
NTC CHIP Pro,16,16,14.4
Adafruit 9DOF IMU,19.99,19.99,17.991
Omron D6T,42.9,42.9,38.61
Adafruit BME280,19.95,19.95,17.955
FGPMMOPA6H GPS,11.35,11.35,10.215
Antenna 868MHz,6.82,6.82,6.138
Thermal Sensor Contact,0.0784,0.3136,0.28224
Thermal Sensor Housing,0.125,0.125,0.1125
Female 5x2 Header,0.85,0.85,0.765
Parachute,7.37,7.37,6.633
4400mAh Li-Ion battery,19.95,19.95,17.955
Wire (assorted),5,5,4.5
PCB (primary and secondary),59.12,59.12,53.208
GSM Module,6.18,6.18,5.562
Plastic Frame,67.55,67.55,60.795
Fibreglass,10,10,9
Passive Components,18.98,18.98,17.082
RP-SMA U.FL adapter,11.98,11.98,10.782
Power Switch,0.94,0.94,0.846
Sum:,,325.3686,313.54174
